Type,Title,Issuance Date,Cancellation Date,Cause,Count,Monitoring Station,Location Name,Statewide,Island,Island Wide,County,Advisement,Status
Brown Water Advisory,"Brown Water Advisory at Kailua Beach, O‘ahu",11/19/2024 10:48:13 PM,11/20/2024 10:27:38 PM,Heavy rain,,,Kailua Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued for Kailua Beach

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine. 

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/ 

If the water is brown, turn around. 
For more information, please see: (link to the specific advisory on the CWB advisories website)",Closed
Brown Water Advisory,"Brown Water Advisory for the Hamakua coast, Hawai‘i",11/6/2024 9:35:55 PM,11/14/2024 2:27:54 AM,Recent heavy rain,,,The Hamakua coast,No,Hawai‘i,No,Hawaii,"A Brown Water Advisory has been issued at the Hamakua Coast on Hawai'i Island.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1855/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Kalapaki Beach, Kaua‘i",11/6/2024 9:33:36 PM,11/9/2024 7:42:05 AM,Rain,,,Kalapaki Beach,No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued at Hanalei Bay on Kaua‘i.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1856/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Hanalei Bay, Kaua‘i",11/6/2024 8:57:57 PM,11/9/2024 7:42:24 AM,rain,,,Hanalei Bay,No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued at Hanalei Bay on Kaua‘i.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1854/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Hilo Bay, Hawai‘i",10/30/2024 6:22:43 PM,11/14/2024 2:28:16 AM,Recent heavy rain and High surf,,,Hilo Bay,No,Hawai‘i,No,Hawaii,"**Updated: 11/06/2024**

A Brown Water Advisory has been issued at Hilo Bay on Hawai‘i.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine. 

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/ 

If the water is brown, turn around. 
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1853/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Sunset Beach, O‘ahu",10/29/2024 9:23:48 PM,10/31/2024 12:12:25 AM,Heavy rain,,,Sunset Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Sunset Beach on O‘ahu.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1852/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Puaena, O‘ahu",10/3/2024 2:40:02 AM,10/21/2024 7:55:52 PM,Recent rain,,,Puaena,No,O‘ahu,No,Honolulu,"Updated: 10/7/24

A Brown Water Advisory has been issued for Puaena.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1848/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Kahalu'u Bay, North to Kailua Bay on Hawai'i Island",9/19/2024 2:12:13 AM,9/26/2024 7:08:01 PM,Heavy rain,,,"Kahalu'u Bay, North to Kailua Bay",No,Hawai‘i,No,Hawaii,"A Brown Water Advisory has been issued at Kahaluu Bay, North to Kailua Bay on Hawai‘i Island.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1846/details/view",Closed
Brown Water Advisory,Brown Water Advisory for the east side of Hawaii Island from Kohala to South point,9/17/2024 1:08:05 AM,9/26/2024 8:58:36 PM,Recent heavy rain,,,The east side of Hawaii Island from Kohala to South point,No,Hawai‘i,No,Hawaii,"A Brown Water Advisory has been issued for the east side of Hawaii Island from Kohala to South point.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1845/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",8/28/2024 8:38:24 PM,9/5/2024 7:02:57 PM,Heavy rain,,,Waimea Bay,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued for Waimea Bay.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on Leptospirosis: https://health.hawaii.gov/docd/disease_listing/leptospirosis 

If the water is brown, turn around.
For more information please see: https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1842/details/view",Closed
